"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 09, 2005","1.21","1.22","1.22","1.21","-0","-0.87%"
"Feb 10, 2005","1.2","1.22","1.22","1.2","-0","-1.13%"
"Feb 11, 2005","1.2","1.21","1.21","1.21","0","-0.23%"
"Feb 14, 2005","1.19","1.21","1.21","1.2","-0","-1.34%"
"Feb 15, 2005","1.18","1.2","1.2","1.19","-0","-1.07%"
"Feb 16, 2005","1.18","1.19","1.19","1.18","-0","-0.66%"
"Feb 17, 2005","1.18","1.19","1.19","1.18","-0","-0.72%"
"Feb 18, 2005","1.18","1.18","1.19","1.18","-0","-0.58%"
"Feb 21, 2005","1.18","1.18","1.19","1.18","-0","-0.71%"
"Feb 22, 2005","1.15","1.18","1.18","1.16","-0","-2.45%"
"Feb 23, 2005","1.16","1.16","1.17","1.16","0","-0.03%"
"Feb 24, 2005","1.16","1.16","1.17","1.16","0","0%"
"Feb 25, 2005","1.16","1.17","1.17","1.16","-0","-1.05%"
"Feb 28, 2005","1.16","1.16","1.16","1.16","-0","-0.48%"
"Mar 01, 2005","1.16","1.16","1.17","1.16","0","-0.19%"
"Mar 02, 2005","1.17","1.16","1.18","1.16","0","0.33%"
"Mar 03, 2005","1.17","1.17","1.18","1.17","0","0.16%"
"Mar 04, 2005","1.16","1.18","1.19","1.17","-0","-1.47%"
"Mar 07, 2005","1.17","1.17","1.18","1.17","0","0.09%"
"Mar 08, 2005","1.16","1.17","1.18","1.16","-0","-1.53%"
"Mar 09, 2005","1.15","1.16","1.16","1.15","-0","-0.69%"
"Mar 10, 2005","1.15","1.16","1.16","1.15","-0","-0.91%"
"Mar 11, 2005","1.15","1.15","1.16","1.15","-0","-0.72%"
"Mar 14, 2005","1.15","1.15","1.16","1.15","0","0.34%"
"Mar 15, 2005","1.16","1.16","1.17","1.16","0","0.04%"
"Mar 16, 2005","1.15","1.16","1.17","1.15","-0","-1.59%"
"Mar 17, 2005","1.15","1.15","1.16","1.15","0","-0.07%"
"Mar 18, 2005","1.16","1.16","1.17","1.16","0","0.18%"
"Mar 21, 2005","1.17","1.16","1.18","1.16","0","0.68%"
"Mar 22, 2005","1.18","1.18","1.19","1.17","0","0.4%"
"Mar 23, 2005","1.19","1.19","1.2","1.19","0","0.23%"
"Mar 24, 2005","1.2","1.2","1.2","1.19","0","0.01%"
"Mar 25, 2005","1.19","1.2","1.2","1.2","-0","-0.58%"
"Mar 28, 2005","1.2","1.2","1.21","1.2","0","0.05%"
"Mar 29, 2005","1.2","1.2","1.21","1.2","-0","-0.68%"
"Mar 30, 2005","1.19","1.2","1.2","1.19","-0","-0.65%"
"Mar 31, 2005","1.19","1.2","1.2","1.19","-0","-0.72%"
"Apr 01, 2005","1.2","1.2","1.21","1.19","0","0.09%"
"Apr 04, 2005","1.2","1.2","1.21","1.2","0","-0.1%"
"Apr 05, 2005","1.2","1.21","1.21","1.2","-0","-0.69%"
"Apr 06, 2005","1.2","1.21","1.21","1.2","-0","-0.53%"
"Apr 07, 2005","1.2","1.2","1.21","1.2","0","-0.32%"
"Apr 08, 2005","1.19","1.21","1.21","1.2","-0","-1.34%"
"Apr 11, 2005","1.19","1.2","1.2","1.19","-0","-0.73%"
"Apr 12, 2005","1.19","1.19","1.2","1.19","0","-0.06%"
"Apr 13, 2005","1.19","1.2","1.21","1.19","0","-0.39%"
"Apr 14, 2005","1.21","1.2","1.22","1.2","0","0.75%"
"Apr 15, 2005","1.19","1.21","1.22","1.2","-0","-1.63%"
"Apr 18, 2005","1.18","1.2","1.2","1.18","-0","-1.46%"
"Apr 19, 2005","1.18","1.19","1.19","1.18","-0","-1%"
"Apr 20, 2005","1.17","1.18","1.19","1.18","-0","-0.75%"
"Apr 21, 2005","1.18","1.18","1.19","1.17","0","-0%"
"Apr 22, 2005","1.18","1.18","1.19","1.18","-0","-0.66%"
"Apr 25, 2005","1.18","1.18","1.19","1.18","0","0.06%"
"Apr 26, 2005","1.18","1.19","1.19","1.18","-0","-0.56%"
"Apr 27, 2005","1.19","1.19","1.2","1.19","0","0.05%"
"Apr 28, 2005","1.19","1.19","1.2","1.19","0","-0.48%"
"Apr 29, 2005","1.19","1.19","1.2","1.18","0","-0.16%"
"May 02, 2005","1.19","1.2","1.2","1.19","0","-0.33%"
"May 03, 2005","1.19","1.2","1.2","1.19","0","-0.43%"
"May 04, 2005","1.19","1.2","1.2","1.19","-0","-1.02%"
"May 05, 2005","1.19","1.19","1.2","1.19","0","-0.29%"
"May 06, 2005","1.2","1.19","1.21","1.19","0","0.7%"
"May 09, 2005","1.2","1.21","1.21","1.2","-0","-0.78%"
"May 10, 2005","1.19","1.2","1.21","1.2","-0","-0.66%"
"May 11, 2005","1.2","1.2","1.21","1.2","0","-0.02%"
"May 12, 2005","1.21","1.21","1.22","1.2","0","0.52%"
"May 13, 2005","1.22","1.22","1.23","1.22","0","0.21%"
"May 16, 2005","1.22","1.22","1.23","1.22","-0","-0.64%"
"May 17, 2005","1.22","1.22","1.23","1.22","0","-0.23%"
"May 18, 2005","1.21","1.22","1.23","1.22","-0","-1%"
"May 19, 2005","1.22","1.22","1.23","1.21","0","-0.27%"
"May 20, 2005","1.23","1.22","1.24","1.22","0","0.47%"
"May 23, 2005","1.22","1.23","1.24","1.23","-0","-0.77%"
"May 24, 2005","1.22","1.23","1.23","1.22","-0","-0.65%"
"May 25, 2005","1.22","1.23","1.23","1.22","-0","-0.71%"
"May 26, 2005","1.23","1.23","1.24","1.23","0","0.29%"
"May 27, 2005","1.23","1.24","1.24","1.23","-0","-0.79%"
"May 30, 2005","1.23","1.23","1.24","1.23","0","0.06%"
"May 31, 2005","1.24","1.24","1.25","1.24","0","0.28%"
"Jun 01, 2005","1.25","1.25","1.26","1.24","0","0.23%"
"Jun 02, 2005","1.24","1.25","1.26","1.25","-0","-0.75%"
"Jun 03, 2005","1.25","1.25","1.26","1.24","0","-0.34%"
"Jun 06, 2005","1.24","1.25","1.25","1.25","-0","-0.8%"
"Jun 07, 2005","1.24","1.25","1.25","1.24","-0","-0.73%"
